1. Adagala Beatrice Kahai, VIHIGA COUNTY, ANC - YES
2. Denar Joseph Hamisi, NOMINATED, ANC - YES
3. Gimose Charles Gumini, HAMISI, ANC - ABSENT
4. Ikana Fredrick Lusuli, SHINYALU, ANC - YES
5. Injendi Moses Malulu, MALAVA, ANC - YES
6. Kivai Ernest Ogesi, VIHHIGA, ANC - YES
7. Omboko Milemba Jeremiah, EMUHAYA, ANC - NO
8. Tandaza Kassim Sawa, MATUGA, ANC - ABSENT
9. Koech Victor Kipngetich, CHEPALUNGU, CCM - ABSENT
10. Baraza Patrick Simiyu, CHERANGANY, DAP K - NO
11. Bisau Maurice Kakai, KIMININI, DAP K - NO
12. Oyugi Dick Maungu, LUANDA, DAP K - NO
13. Salasya Peter Kalerwa, MUMIAS EAST, DAP K - ABSENT
14. Wamboka Nelson Jack, BUMULA, DAP K - NO
205. Kagombe, Gabriel Gathuka, GATUNDU SOUTH, UDA - YES
206. Kahangara, Joseph Mburu, LARI, UDA - YES
207. Kahugu, Eric Meangi, MATHIRA, UDA - YES
208. Kailema, Elizabeth Karambu, MERU COUNTY, UDA - YES
209. Kamuren, Charles, BARINGO SOUTH, UDA - YES
210. Kandie, Joshua Chepyegon, BARINGO CENTRAL, UDA - YES
211. Karani, Stephen Wachira, LAIKIPIA WEST, UDA - YES
212. Karemba, Eric Muchangi Njiru, RUNYENJES, UDA - ABSENT
213. Kemei, Beatrice Chepng’eno, KERICHO COUNTY, UDA - YES
214. Kemei, Justice Kipsang, SIGOWET/SOIN, UDA - YES
215. Kemero, Maisori Marwa Kitayama, KURIA EAST, UDA - YES
216. Kihara, Jayne Wanjiru Njeru, NAIVASH, UDA - YES
217. Kihungi, Peter Irungu, KANGEMA, UDA - ABSENT
218. Kilel, Richard Cheruiyot, BOMET CENTRAL, UDA - YES
219. Kimani, Francis Kuria, MOLO, UDA - YES
220. Kingara, Simon Ng’ang’a, RUIRU, UDA - YES
221. Kipbiwot, Julius Melly, TINDERET, UDA - YES
222. Kipngor, Reuben Kiborek, MOGOTIO, UDA - YES
223. Kipkoech, Gideon Kimaiyo, KEIYO SOUTH, UDA - YES
224. Kipkoros, Joseph Makilap, BARINGO NORTH, UDA - YES
225. Kiplagat, David, SOY, UDA - ABSENT
226. Kiprono, Mutai Alfred, KURESOI NORTH, UDA - YES
227. Kipyegon, Johana Ng’eno, EMURUA DIKIRR, UDA - YES
228. Kirima, Moses Nguchine, IMENTI CENTRAL, UDA - YES
229. Kirwa, Abraham Kipsang, MOSOP, UDA - ABSENT
230. Kitany, Marianne Jebet, ALDAI, UDA - YES
231. Kitur, Bernard Kibor, NANDI HILLS, UDA - YES
232. Koech, Nelson, BELGUT, UDA - YES
233. Komingoi, Kibet Kirui, BURETI, UDA - YES
234. Korir, Adams Kipsanai, KEIYO NORTH, UDA - YES
235. Kosgei, Hilary Kiplangat, KIPKELION WEST, UDA - YES
236. Kosgei, Jackson Kipkemoi, NOMINATED, UDA - YES
237. Langat, Benjamin Kipkirui, AINAMOI, UDA - YES
238. Lelmengit, Josses Kiptoo Kosgey, EMGWEN, UDA - YES
239. Lemanken, Aramat, NAROK EAST, UDA - YES
240. Lenguris, Pauline, SAMBURU COUNTY, UDA - YES
241. Letipila, Dominic Eli, SAMBURU NORTH, UDA - YES
242. Lochakapong, Peter, SIGOR, UDA - YES
243. Logova, Sloya Clement, SABATIA, UDA - YES
244. M’Anaiba, Julius Taitumu, IGEMBE NORTH, UDA - YES
245. Maina, Betty Njeri, MURANGA COUNTY, UDA - YES
246. Maina, Jane Njeri, KIRINYAGA COUNTY, UDA - YES
247. Maingi, Mary, MWEA, UDA - YES
248. Mathenge, Duncan Maina, NYERI TOWN, UDA - YES
249. Mbai, Nimrod Mbithuka, KITUI EAST, UDA - ABSENT
250. Mbiuki, Japhet Miriti Kareke, MAARA, UDA - YES
251. Mizighi, Lydia Haika Mnene, TAITA TAVETA, UDA - YES
252. Mohamed, Mohamed Ali, NYALI, UDA - ABSENT
253. Mokaya, Nyakundi Japheth, KITUTU CHACHE NORTH, UDA - YES
254. Muchira, Michael Mwangi, OL JOROK, UDA - YES
255. Muge, Cynthia Jepkosgei, NANDI COUNTY, UDA - ABSENT
256. Muhia, Wanjiku, KIPIPIRI, UDA - YES
257. Mukunji, John Gitonga Mwaniki, MANYATTA, UDA - YES
258. Munyoro, Joseph Kamau, KIGUMO, UDA - YES
259. Muratha, Anne Wanjiku Mugo, KIAMBU COUNTY, UDA - ABSENT
260. Muriu, Wakili Edward, GATANGA, UDA - ABSENT
261. Murugara, George Gitonga, THARAKA, UDA - ABSENT
262. Murwithania, Rindikiri Mugambi, BUURI, UDA - YES
263. Musau, Vincent Musyoka, MWALA, UDAC- ABSENT
264. Mutua, Didmus Wekesa Barasa, KIMILILI, UDA - YES
265. Mutunga, John Kanyuithia, TIGANIA WEST, UDA - YES
266. Mwafrika, Augustine Kamande, ROYSAMBU, UDA - YES
267. Mwangi, Geoffrey Wandeto, TETU, UDA - YES
268. Mwangi, Teresia Wanjiru, NOMINATED, UDA - YES
269. Mwiring, John Paul, IGEMBE SOUTH, UDA - YES
270. Nanok, Daniel Epuyo, TURKANA WEST, UDA - YES
271. Ndung’u George Koimburi, JUJA, UDA - YES
272. Ng’ang’a Alice Wambui, THIKA TOWN, UDA - YES
273. Ngitit, Cecilia Asinyen, TURKANA COUNTY, UDA - YES
274. Nguro, Onesmus Ngogoyo, KAJIADO NORTH, UDA - YES
275. Njoroge, Mary Wamaua Waithira, MARAGWA, UDA - ABSENT
276. Njuguna, Chege, KANDARA, UDA - YES
277. Ntwiga, Patrick Munene, CHUKA/IGAMBANG'OMBE, UDA - YES
278. Nyamoko, Joash Nyamache, NORTH MUGIRANGO, UDA - YES
279. Nyoro, Samson Ndindi, KIHARU, UDA - YES
280. Onyiego, Silvanus Osoro, SOUTH MUGIRANGO, UDA - YES
281. Otucho, Mary Emaase, TESO SOUTH, UDA - YES
282. Pukose, Robert (Dr.), ENDEBESS, UDA - YES
283. Raso, Dido Ali, SAKU, UDA - YES
284. Risa, Sunkuiya George, KAJIADO WEST, UDA - ABSENT
285. Robi, Mathias Nyamabe, KURIA WEST, UDA - YES
286. Rutto, Julius Kipletting, KESSES, UDA - ABSENT
287. Saney, Ibrahim Abdi, WAJIR NORTH, UDA - ABSENT
288. Sankaire, Leah Sopiato, KAJIADO COUNTY, UDA - YES
289. Sergon, Flowrence Jematiah, BARINGO COUNTY, UDA - YES
290. Shollei, Gladys Jepkosgei Boss, UASIN GISHU, UDA - ABSENT
291. Sigei, Francis Kipyegon arap, SOTIK, UDA - YES
292. Sirma, Musa Cherutich, ELDAMA RAVINE, UDA - YES
293. Sitati, Daniel Wanyama, WEBUYE WEST, UDA - YES
294. Sitienei, Janet Jepkemboi, TURBO, UDA - YES
295. Siyoi, Lillian Chebet, TRANS NZOIA, UDA - YES
296. Sudi, Oscar Kipchumba, KAPSERET, UDA - ABSENT
297. Tongoyo, Gabriel Koshal, NAROK WEST, UDA - YES
298. Tonkei, Rebecca Noonaishi, NAROK COUNTY, UDA - YES
299. Tonui, Joseph Kipkosgei, KURESOI SOUTH, UDA - YES
300. Wachira, Rahab Mukami, NYERI COUNTY, UDA - YES
301. Wainaina, Antony Njoroge, KIENI, UDA - YES
302. Wainaina, Michael Wambugu, OTHAYA, UDA - YES
303. Waithaka, John Machua, KIAMBU, UDA - YES
304. Wamacukuru, James Githua Kamau, KABETE, UDA - YES
305. Wamuchomba, Gathoni, GITHUNGURI, UDA - NO
306. John Njuguna Kawanjiku, KIAMBAA, UDA - YES
307. Wanjira, Martha Wangari, GILGIL, UDA - YES
308. Waqo, Naomi Jillo, MARSABIT COUNTY, UDA - YES
309. Waweru, John Kiarie, DAGORETTI SOUTH, UDA - YES
310. Yakub, Farah Salah, FAFI, UDA - YES
311. Yegon, Brighton Leonard, KONOIN, UDA - YES
312. Yegon, Richard Kipkemoi, BOMET EAST, UDA - YES
313. Abdullahi, Bashir Sheikh, MANDERA NORTH, UDM - YES
314. Chiforomodo, Mangale Munga, LUNGA LUNGA, UDM - YES
315. Haro, Abdul Ebrahim, MANDERA SOUTH, UDM - YES
316. (Kullow Maalim Hassan -Deceased) - BANISSA - VACANT
317. Harun, Suleka Hulbale, NOMINATED, UDM - YES
318. Lekuton, Joseph, LAISAMIS, UDM - ABSENT
319. Sheikh, Umul Ker Kassim, MANDERA COUNTY, UDM - YES
320. Yussuf, Adan Haji, MANDERA WEST, UDM - ABSENT
321. Onchoke Charles, BONCHARI, UPA - NO
322. Jaldesa, Guyo Waqo, MOYALE, UPIA - NO
323. Yakub, Adow Kuno, BURA, UPIA - YES
324. Abdi, Khamis Chome, VOI, WIPER - ABSENT
325. Aburi, Donya Dorice, KISII COUNTY, WIPER - NO
326. Basil, Robert Ngui, YATTA, WIPER - NO
327. Bwire, John Okano, TAVETA, WIPER - NO
328. Kamene, Joyce, MACHAKOS COUNTY, WIPER - NO
329. Kasalu, Irene Muthoni, KITUI COUNTY, WIPER - ABSENT
330. Kiamba, Suzanne Ndunge, MAKUENI COUNTY, WIPER - ABSENT
331. Kimilu, Joshua Kivinda, KAITI, WIPER - NO
332. King’ola Patrick Makau, MAVOKO, WIPER - ABSENT
333. Maalim, Farah, DADAAB, WIPER - ABSENT
334. Mawathe, Julius Musili, EMBAKASI SOUTH, WIPER - NO
335. Mbalu, Jessica Nduku Kiko, KIBWEZI EAST, WIPER - NO
336. Mboni, David Mwalika, KITUI RURAL, WIPER - NO
337. Mbui, Robert, KATHIANI, WIPER - NO
338. Momanyi, Innocent Obiri, BOMACHOGE BORABU, WIPER - ABSENT
339. Mule, Stephen Mutinda, MATUNGULU, WIPER - ABSENT
340. Mulu, Makali Benson, KITUI CENTRAL, WIPER - YES
341. Mulyungi, Gideon Mutemi, MWINGI CENTRAL, WIPER - NO
342. Mumo, Rose Museo, MAKUENI COUNTY, WIPER - NO
343. Mwakuwona, Danson Mwashako, WUNDANYI, WIPER - NO
344. Nguna, Charles Ngusya, MWINGI WEST, WIPER - NO
345. Nyenze, Edith Vethi, KITUI WEST, WIPER - NO
346. Nzambia, Thudeeus Kithua, KILOME, WIPER - NO
347. Nzengu, Paul Musyimi, MWINGI NORTH, WIPER - ABSENT
348. Nzioka, Erastus Kivasu, MBOONI, WIPER - NO
349. Twalib, Abubakar Ahmed, NOMINATED, WIPER - YES
